Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
106,Jordan Clark,eng ENG,MF,Luton Town,30-208,1993,11.5,25,15,11,10,4,10,33,30.3,23,22,3,19,8,33,10,1,Matches
107,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-012,1991,9,15,9,7,6,2,9,14,64.3,5,13,5,8,4,19,25,0,Matches
108,Séamus Coleman,ie IRL,DF,Everton,35-189,1988,5.1,14,12,8,3,3,9,14,64.3,5,8,4,4,5,19,14,1,Matches
109,Nathan Collins,ie IRL,DF,Brentford,22-353,2001,25.5,33,18,20,11,2,19,29,65.5,10,37,22,15,37,70,125,4,Matches
110,Levi Colwill,eng ENG,DF,Chelsea,21-051,2003,20,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,Matches
111,Lewis Cook,eng ENG,MF,Bournemouth,27-074,1997,25,50,34,23,23,4,29,52,55.8,23,23,7,16,51,101,36,1,Matches
112,Jack Cork,eng ENG,MF,Burnley,34-297,1989,0.2,2,0,0,2,0,1,3,33.3,2,0,0,0,0,2,1,0,Matches
113,Maxwel Cornet,ci CIV,"MF,FW",West Ham,27-203,1996,1.2,3,2,3,0,0,1,5,20,4,2,0,2,2,5,1,0,Matches
114,Vladimír Coufal,cz CZE,DF,West Ham,31-239,1992,29.8,54,36,43,9,2,34,60,56.7,26,39,11,28,36,90,85,0,Matches
115,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31-310,1992,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Matches
116,Aaron Cresswell,eng ENG,"DF,FW",West Ham,34-124,1989,3.1,2,1,1,0,1,1,2,50,1,3,2,1,3,5,5,0,Matches
117,Marc Cucurella,es ESP,DF,Chelsea,25-270,1998,12.8,39,27,21,16,2,22,42,52.4,20,25,8,17,15,54,31,0,Matches
118,Josh Cullen,ie IRL,MF,Burnley,28-010,1996,18,28,19,11,15,2,18,36,50,18,24,15,9,12,40,20,0,Matches
119,Matheus Cunha,br BRA,"FW,MF",Wolves,24-326,1999,23.2,27,13,7,17,3,12,33,36.4,21,23,7,16,13,40,17,1,Matches
120,Mahmoud Dahoud,de GER,MF,Brighton,28-107,1996,5,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,Matches
121,Ameen Al-Dakhil,be BEL,DF,Burnley,22-042,2002,11.7,12,5,4,7,1,1,10,10,9,13,6,7,12,24,38,2,Matches
122,Diogo Dalot,pt POR,DF,Manchester Utd,25-030,1999,29.3,69,43,51,9,9,43,63,68.3,20,41,15,26,35,104,91,0,Matches
123,Mikkel Damsgaard,dk DEN,MF,Brentford,23-289,2000,6.3,19,10,10,6,3,11,31,35.5,20,17,1,16,10,29,7,1,Matches
124,Danilo,br BRA,MF,Nott'ham Forest,22-354,2001,15.3,23,12,12,10,1,14,32,43.8,18,30,8,22,29,52,31,0,Matches
125,Arnaut Danjuma,nl NED,"MF,FW",Everton,27-077,1997,6.6,6,4,2,3,1,1,4,25,3,4,0,4,3,9,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Jayden Danns,eng ENG,FW,Liverpool,18-092,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
127,Josh Dasilva,eng ENG,"DF,FW",Brentford,25-177,1998,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
128,David Datro Fofana,ci CIV,FW,Burnley,21-117,2002,9,9,4,2,5,2,3,6,50,3,5,2,3,0,9,2,0,Matches
129,Ben Davies,wls WAL,DF,Tottenham,30-359,1993,11.1,21,17,13,6,2,15,18,83.3,3,16,14,2,10,31,33,0,Matches
130,Tom Davies,eng ENG,MF,Sheffield Utd,25-292,1998,2.5,10,5,4,3,3,3,9,33.3,6,2,1,1,3,13,6,1,Matches
