Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
76,David Brooks,wls WAL,"FW,MF",Bournemouth,26-284,1997,3.1,95,132,72,1545,666,47,55,85.5,34,42,81,10,23,43.5,1,1,0.5,0,8,14,12,3,21,Matches
77,Jacob Brown,sct SCO,"MF,FW",Luton Town,26-007,1998,11.3,136,247,55.1,1865,626,91,127,71.7,35,56,62.5,6,24,25,0,0.7,0.4,-0.7,8,6,3,1,19,Matches
78,Josh Brownhill,eng ENG,MF,Burnley,28-120,1995,23.6,795,1034,76.9,12466,3225,413,488,84.6,299,375,79.7,52,109,47.7,2,1.9,1.9,0.1,30,62,14,0,84,Matches
79,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,25-211,1998,10.4,285,395,72.2,4480,979,160,198,80.8,86,115,74.8,28,44,63.6,0,0.9,1.5,-0.9,18,7,10,1,28,Matches
80,Hugo Bueno,es ESP,"DF,MF",Wolves,21-212,2002,6.2,269,346,77.7,3681,873,183,204,89.7,73,94,77.7,10,24,41.7,0,0.6,0.4,-0.6,5,10,8,8,6,Matches
81,Santiago Bueno,uy URU,DF,Wolves,25-160,1998,6.5,305,352,86.6,5126,1591,121,133,91,164,178,92.1,12,28,42.9,0,0,0,0,1,13,0,0,10,Matches
82,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,19-116,2004,12,326,393,83,4071,768,214,247,86.6,75,86,87.2,9,15,60,1,1.7,1.1,-0.7,17,18,13,1,33,Matches
83,Reece Burke,eng ENG,DF,Luton Town,27-228,1996,15,423,557,75.9,7845,3001,147,186,79,228,267,85.4,39,80,48.8,3,1.1,0.7,1.9,9,34,6,2,44,Matches
84,Dan Burn,eng ENG,DF,Newcastle Utd,31-344,1992,24.3,1092,1364,80.1,17582,6799,533,616,86.5,506,603,83.9,43,93,46.2,2,1,1,1,8,56,7,3,66,Matches
85,Mason Burstow,eng ENG,FW,Chelsea,20-257,2003,0.1,3,4,75,29,1,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
86,Moisés Caicedo,ec ECU,MF,Chelsea,22-167,2001,25.1,1475,1631,90.4,22901,5996,805,863,93.3,522,559,93.4,95,117,81.2,1,1.5,1.3,-0.5,16,129,13,0,128,Matches
87,Tom Cairney,sct SCO,MF,Fulham,33-088,1991,15.4,1053,1192,88.3,16229,3494,575,613,93.8,385,415,92.8,63,102,61.8,4,2.1,2.3,1.9,22,79,23,4,137,Matches
88,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-032,1997,19.8,199,363,54.8,2426,593,139,222,62.6,42,85,49.4,6,11,54.5,1,1.7,0.8,-0.7,17,13,12,0,28,Matches
89,Thomas Cannon,ie IRL,FW,Everton,21-111,2002,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
90,Diego Carlos,br BRA,DF,Aston Villa,31-033,1993,17,984,1114,88.3,19517,8061,300,321,93.5,582,609,95.6,96,174,55.2,0,0.1,0.4,-0.1,3,65,4,0,55,Matches
91,Cesare Casadei,it ITA,"FW,MF",Chelsea,21-098,2003,0.4,25,30,83.3,397,60,13,15,86.7,11,12,91.7,1,1,100,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
92,Casemiro,br BRA,MF,Manchester Utd,32-054,1992,16,779,954,81.7,12667,4719,394,438,90,296,358,82.7,60,103,58.3,2,0.9,0.9,1.1,14,91,13,3,93,Matches
93,Matty Cash,pl POL,DF,Aston Villa,26-254,1997,21.1,903,1121,80.6,14542,4263,459,507,90.5,375,457,82.1,53,112,47.3,1,2.1,2.3,-1.1,11,62,17,8,82,Matches
94,Timothy Castagne,be BEL,DF,Fulham,28-134,1995,25.3,1187,1456,81.5,18700,6489,628,704,89.2,448,515,87,80,144,55.6,2,1.4,1.4,0.6,16,67,17,8,70,Matches
95,Jonny Castro,es ESP,MF,Wolves,30-045,1994,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
96,Trevoh Chalobah,eng ENG,DF,Chelsea,24-287,1999,4.4,289,331,87.3,5142,1373,107,120,89.2,164,173,94.8,14,33,42.4,0,0,0,0,1,1,0,0,7,Matches
97,Calum Chambers,eng ENG,"DF,MF",Aston Villa,29-088,1995,0.8,50,55,90.9,911,365,18,19,94.7,28,28,100,4,6,66.7,0,0,0,0,0,0,0,0,2,Matches
98,Youssef Chermiti,pt POR,FW,Everton,19-329,2004,0.9,15,23,65.2,224,44,8,12,66.7,7,10,70,0,0,,0,0.4,0,-0.4,1,0,2,0,4,Matches
99,Ben Chilwell,eng ENG,DF,Chelsea,27-118,1996,8.4,373,495,75.4,5230,1552,230,259,88.8,112,143,78.3,18,48,37.5,1,2.2,1.8,-1.2,14,29,2,2,25,Matches
100,Tawanda Chirewa,eng ENG,MF,Wolves,20-189,2003,0.4,16,17,94.1,234,64,10,11,90.9,5,5,100,1,1,100,0,0,0,0,1,1,2,2,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
101,Leon Chiwome,eng ENG,FW,Wolves,18-098,2006,1.9,19,22,86.4,244,59,12,13,92.3,6,6,100,1,1,100,0,0,0,0,0,2,0,0,2,Matches
